,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,MATIC-USD,MATIC-USD,MATIC-USD,MATIC-USD,MATIC-USD,MATIC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-11,,,,,,,,,,,,,10.941100120544434,11.009300231933594,10.260199546813965,10.458999633789062,10.458999633789062,13098000,0.00027200000477023423,0.00029299999005161226,0.00026500000967644155,0.00026699999580159783,0.00026699999580159783,223700,648.4840087890625,659.6290283203125,644.97998046875,647.6589965820312,647.6589965820312,107910000
2016-07-12,,,,,,,,,,,,,10.446999549865723,10.76200008392334,10.425800323486328,10.51609992980957,10.51609992980957,11127700,0.0002680000034160912,0.00027099999715574086,0.0002589999930933118,0.00026500000967644155,0.00026500000967644155,382756,648.2830200195312,675.2589721679688,646.7789916992188,664.551025390625,664.551025390625,138172992
2016-07-13,,,,,,,,,,,,,10.506600379943848,10.589500427246094,10.403900146484375,10.500499725341797,10.500499725341797,6715660,0.0002640000020619482,0.0002680000034160912,0.0002610000083222985,0.0002629999944474548,0.0002629999944474548,228096,664.7969970703125,668.7000122070312,654.468017578125,654.468017578125,654.468017578125,131449000
2016-07-14,,,,,,,,,,,,,10.59689998626709,11.681900024414062,10.59689998626709,11.513199806213379,11.513199806213379,23621900,0.0002629999944474548,0.00026699999580159783,0.0002589999930933118,0.00026199998683296144,0.00026199998683296144,161058,652.9229736328125,662.9019775390625,652.9229736328125,658.0780029296875,658.0780029296875,98511400
2016-07-15,,,,,,,,,,,,,11.499099731445312,12.431300163269043,11.489999771118164,11.951600074768066,11.951600074768066,26838900,0.0002610000083222985,0.00026599998818710446,0.0002610000083222985,0.0002640000020619482,0.0002640000020619482,120831,659.1710205078125,667.0770263671875,659.0399780273438,663.2550048828125,663.2550048828125,81673104
2016-07-16,,,,,,,,,,,,,11.919400215148926,11.93589973449707,11.592399597167969,11.652799606323242,11.652799606323242,10445700,0.00026199998683296144,0.00026599998818710446,0.00026000000070780516,0.00026199998683296144,0.00026199998683296144,82476,663.781005859375,666.4600219726562,659.333984375,660.7670288085938,660.7670288085938,50330200
2016-07-17,,,,,,,,,,,,,11.623499870300293,11.670299530029297,11.007399559020996,11.158699989318848,11.158699989318848,17921600,0.00026199998683296144,0.0002640000020619482,0.0002570000069681555,0.0002629999944474548,0.0002629999944474548,125107,661.9929809570312,682.364990234375,661.9929809570312,679.458984375,679.458984375,74407904
2016-07-18,,,,,,,,,,,,,11.17300033569336,11.610099792480469,10.9483003616333,11.03439998626709,11.03439998626709,15931900,0.0002629999944474548,0.0002629999944474548,0.00025099999038502574,0.0002519999979995191,0.0002519999979995191,232515,679.8090209960938,681.5549926757812,668.625,673.1060180664062,673.1060180664062,69465000
2016-07-19,,,,,,,,,,,,,11.046600341796875,12.013899803161621,11.010299682617188,11.619099617004395,11.619099617004395,21730000,0.0002519999979995191,0.00025499999173916876,0.00024300000222865492,0.00024500000290572643,0.00024500000290572643,257203,672.7379760742188,673.2769775390625,667.6320190429688,672.864013671875,672.864013671875,61203300
2016-07-20,,,,,,,,,,,,,11.590200424194336,12.991399765014648,11.566900253295898,12.450599670410156,12.450599670410156,60226100,0.00024500000290572643,0.0002469999890308827,0.00023999999393709004,0.00024399999529123306,0.00024399999529123306,174826,672.8060302734375,672.9290161132812,663.3599853515625,665.6849975585938,665.6849975585938,94636400
2016-07-21,,,,,,,,,,,,,12.460100173950195,12.71030044555664,11.99370002746582,12.650699615478516,12.650699615478516,24636900,0.00024199999461416155,0.00024300000222865492,0.00023400000645779073,0.00023700000019744039,0.00023700000019744039,252756,665.22802734375,666.218994140625,660.4149780273438,665.0120239257812,665.0120239257812,60491800
2016-07-22,,,,,,,,,,,,,12.657500267028809,14.813400268554688,12.539899826049805,14.66189956665039,14.66189956665039,74779504,0.0002390000008745119,0.00023999999393709004,0.00023400000645779073,0.00023700000019744039,0.00023700000019744039,216280,664.9219970703125,666.5830078125,646.7219848632812,650.6190185546875,650.6190185546875,134169000
2016-07-23,,,,,,,,,,,,,14.665499687194824,14.898900032043457,14.049699783325195,14.299699783325195,14.299699783325195,32489700,0.00023700000019744039,0.00025099999038502574,0.00023200000578071922,0.00025099999038502574,0.00025099999038502574,328851,650.7260131835938,656.3660278320312,648.5239868164062,655.5560302734375,655.5560302734375,69532200
2016-07-24,,,,,,,,,,,,,14.29580020904541,14.437399864196777,12.316100120544434,12.749500274658203,12.749500274658203,77750800,0.00025400001322850585,0.00025400001322850585,0.00024300000222865492,0.00024900000425986946,0.00024900000425986946,273570,655.4099731445312,663.1099853515625,652.7930297851562,661.2849731445312,661.2849731445312,118184000
2016-07-25,,,,,,,,,,,,,12.743399620056152,13.857000350952148,12.683799743652344,13.836099624633789,13.836099624633789,36673800,0.0002460000105202198,0.00024900000425986946,0.0002410000015515834,0.00024500000290572643,0.00024500000290572643,108561,661.2630004882812,661.8280029296875,653.39501953125,654.0969848632812,654.0969848632812,78176496
